p [kPa],Beta1 (deg),Beta2 (deg)
2.9500,55.38265024,45.48425166
2.9537,55.51179115,45.59479729
2.9575,55.58690497,45.71112592
2.9612,55.68285974,45.79739186
2.9650,55.71979042,46.05923911
2.9687,55.86806514,46.07290818
2.9725,56.00064375,46.16613812
2.9762,56.1069707,46.29346809
2.9800,56.12406325,46.5312975
2.9837,56.2949748,46.52384516
2.9875,56.35215313,46.77975868
2.9912,56.43683463,46.80985051
2.9950,56.5261643,46.99690082
2.9987,56.65662011,47.0003131
3.0025,56.79133107,47.23077731
3.0063,56.83869154,47.3058704
3.0100,56.8912267,47.47851341
3.0138,57.05876269,47.52006482
3.0175,57.15200985,47.72269844
3.0213,57.22045274,47.69445963
3.0250,57.35852221,47.97535233
3.0288,57.35957956,48.02425453
3.0325,57.46526062,48.250201
3.0363,57.44134934,48.30567865
3.0400,57.68242614,48.50230961
3.0438,57.71789112,48.54732797
3.0475,57.89041565,48.67378537
3.0513,57.92011866,48.71843613
3.0550,58.02405949,49.00564715
