beta2(deg),beta3_1(deg),beta3_2(deg),p_avervage (kpa)
6.283691653,8.989352035,7.790397412,-1.587
6.332801969,9.037359779,7.848754582,-1.695
6.393214281,9.095844538,7.923862182,-1.718
6.456544947,9.160438339,8.006677791,-1.457
6.514499337,9.225489748,8.085972077,-1.305
6.550130006,9.277352532,8.139159373,-1.674
6.581753585,9.324503999,8.178297571,-1.587
6.61980856,9.368132709,8.20618918,-1.566
6.676193018,9.409423613,8.227324012,-1.696
6.760308416,9.448103028,8.249504924,-1.544
6.880428565,9.484830666,8.27164668,-1.327
7.037930688,9.518485516,8.294738184,-1.457
7.227341961,9.547290316,8.319092173,-1.500
7.439623163,9.564481972,8.334681217,-1.522
7.653893912,9.577047735,8.358111533,-1.565
7.850906806,9.587480603,8.394453706,-1.587
8.014216179,9.598500535,8.445813491,-1.609
8.120348825,9.606391549,8.516508711,-1.804
8.188440111,9.623213118,8.591263357,-1.414
8.230650996,9.652896689,8.659406926,-1.457
8.261969787,9.696374929,8.711729979,-1.631
8.300517859,9.752976653,8.725854187,-1.522
8.349427659,9.814326237,8.729565852,-1.370
8.410721864,9.872452283,8.735952093,-1.566
8.481231072,9.920094979,8.756650168,-1.848
8.550679267,9.93965706,8.810759542,-1.652
8.615726451,9.951140084,8.878205565,-1.739
8.669861873,9.963446978,8.946669292,-1.826
8.708642902,9.984721401,9.002893796,-1.609
8.72067129,10.02561545,9.016849078,-1.674
8.725109572,10.07760544,9.015925309,-1.696
8.732392907,10.13428336,9.011475792,-1.848
8.751601156,10.18771141,9.015241137,-1.652
8.793586776,10.21762276,9.046669589,-1.565
8.849149094,10.24085193,9.091827339,-1.631
8.910507711,10.26275921,9.143403389,-1.391
8.967796593,10.2887314,9.192399864,-1.957
9.002057742,10.32477057,9.214101104,-1.674
9.022759874,10.36812062,9.231157143,-1.718
9.032709359,10.41578019,9.250972223,-1.718
9.037112751,10.46310912,9.28010934,-1.500
9.039808057,10.49676217,9.329912584,-1.630
9.050956671,10.52644998,9.386611928,-1.522
9.076426251,10.55414533,9.44148729,-1.761
9.118968386,10.58195262,9.485422718,-1.805
9.175345333,10.60859516,9.497480306,-1.609
9.244620764,10.63939879,9.497873202,-2.000
9.320615533,10.67537075,9.495465981,-1.566
9.395385655,10.71584231,9.499580525,-1.804
9.456295089,10.75481841,9.520932652,-1.522
9.504112798,10.7954591,9.557580683,-1.652
9.537242974,10.83633803,9.607141825,-1.761
9.556623228,10.87569821,9.664214419,-1.891
9.55847809,10.90526689,9.713619773,-1.826
9.559218603,10.93457184,9.761992535,-1.609
9.56790178,10.96624574,9.80798107,-1.566
9.591133735,11.00183806,9.850524571,-1.696
9.633390388,11.03895187,9.885745721,-1.630
