Test ,20220705_1515_4folds_sample2,20220705_1518_4folds_sample2,20220705_1521_4folds_sample2,20220705_1526_4folds_sample0,20220705_1529_4folds_sample0,20220705_1531_4folds_sample0,20220705_1548_4folds_sample3_metadata,20220705_1550_4folds_sample3
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.473777778,-1.238218033,-1.364084091,-1.040627234,-1.371751069,-1.630044165,-0.844086947,-1.497620727,-1.042599108
0.476666667,-1.242682255,-1.362113013,-1.564687319,-1.756628231,-1.888858278,-1.235851464,-1.692188706,-1.497752169
0.479555556,-0.918311389,-1.041549155,-1.370184035,-1.367295838,-1.497686448,-0.97467512,-1.758401946,-1.629978509
0.482444444,-1.238218033,-1.231590761,-0.981765094,-1.429236688,-1.821001205,-0.914964129,-1.758401946,-1.367361559
0.485333333,-1.0412169,-1.233693482,-1.370184035,-1.172923997,-1.626105979,-1.175482596,-1.822645103,-1.10658034
0.488222222,-1.302393245,-1.364084091,-1.432193989,-1.172923997,-1.365061476,-1.171544411,-1.428973404,-1.305410877
0.491111111,-1.046080554,-0.975273498,-1.695077929,-1.497686448,-1.433573774,-1.173515489,-1.628011337,-1.298911799
0.494,-1.0412169,-1.233693482,-1.564687319,-1.760303398,-1.305542121,-1.173515489,-1.951326094,-1.563898663
0.496888889,-0.918311389,-1.364084091,-1.627023294,-1.298648516,-1.888858278,-0.844086947,-1.758401946,-1.497752169
0.499777778,-0.785430777,-0.972912262,-1.171149485,-1.630044165,-1.429236688,-0.65195305,-1.566060654,-1.175217233
0.502666667,-1.238218033,-1.101068509,-1.306135959,-1.365061476,-1.630044165,-0.914964129,-1.758401946,-1.497752169
0.505555556,-1.240452395,-1.034655549,-1.242152383,-1.369525698,-1.104016972,-0.654445663,-1.497620727,-1.429499972
0.508444444,-0.788117745,-0.975273498,-0.97920937,-1.626105979,-1.826316699,-1.171544411,-1.628011337,-1.565798166
0.511333333,-0.785430777,-1.167414453,-1.242152383,-1.756628231,-1.433573774,-1.043124879,-1.822645103,-1.758533389
0.514222222,-1.110061785,-1.041549155,-1.627023294,-1.305542121,-1.628077058,-0.65195305,-1.890628287,-1.563898663
0.517111111,-1.56356959,-1.235791965,-1.436395193,-1.433573774,-1.236905228,-1.043124879,-1.890628287,-1.888923999
0.52,-0.977173529,-1.364084091,-1.242152383,-1.497686448,-1.628077058,-0.850980553,-1.628011337,-1.367361559
0.522888889,-1.308892323,-0.970546258,-1.436395193,-1.497686448,-1.630044165,-0.981174197,-2.017475371,-1.497752169
0.525777778,-0.849280565,-1.103302872,-0.91273427,-1.234539224,-1.433573774,-1.235851464,-1.63010982,-1.694223551
0.528666667,-0.977173529,-0.975273498,-1.303906099,-1.696123054,-1.497686448,-0.910499907,-1.172923997,-1.365258839
0.531555556,-1.43705522,-1.366051198,-1.303906099,-1.435735766,-1.626105979,-1.434296709,-1.820737921,-1.367361559
0.534444444,-1.368740284,-0.911355511,-1.434296709,-1.433573774,-1.499784931,-1.366439637,-1.696254299,-1.429499972
0.537333333,-1.308892323,-0.970546258,-1.564687319,-1.236905228,-1.628077058,-1.173515489,-1.303248886,-1.497752169
0.540222222,-1.43705522,-1.233693482,-1.239859147,-1.172923997,-1.888858278,-1.302066662,-1.628011337,-1.497752169
0.543111111,-1.046080554,-1.624865311,-1.434296709,-1.696123054,-1.497686448,-0.779977655,-1.758401946,-1.626303342
0.546,-1.308892323,-1.103302872,-1.498474078,-1.690413033,-1.626105979,-1.171544411,-1.82454844,-1.565798166
0.548888889,-0.977173529,-1.103302872,-1.436395193,-1.170494624,-1.954873328,-1.041022159,-1.628011337,-1.758533389
0.551777778,-0.849280565,-0.648281254,-1.434296709,-1.497686448,-1.628077058,-0.58803754,-2.019183166,-1.629978509
0.554666667,-1.178698678,-0.712131042,-1.761158701,-1.365061476,-1.760303398,-1.043124879,-1.563898663,-1.367361559
0.557555556,-0.977173529,-0.712131042,-1.564687319,-1.821001205,-1.628077058,-0.58803754,-1.886953119,-1.234736587
0.560444444,-0.846651277,-1.295831894,-1.432193989,-1.497686448,-1.55982486,-1.302066662,-1.364864113,-1.758533389
0.563333333,-1.432981417,-1.167414453,-1.436395193,-1.106514618,-1.628077058,-0.850980553,-1.559561577,-1.10658034
0.566222222,-1.0412169,-0.904067377,-1.434296709,-1.172923997,-1.369525698,-1.171544411,-1.758401946,-1.10658034
0.569111111,-1.046080554,-0.648281254,-1.043124879,-1.433573774,-1.435735766,-0.65195305,-1.820737921,-1.690676317
0.572,-1.368740284,-1.299905696,-1.30836133,-1.433573774,-1.106514618,-1.173515489,-1.43586701,-1.305410877
0.574888889,-1.372941488,-1.366051198,-1.627023294,-1.760303398,-1.429236688,-1.302066662,-1.563898663,-0.97618973
